uid,utctime,microseconds,original,omicroseconds,card,readerid,address,scancount,type,transition,ttype
6D B2 92 05 08 00 12 E0,2016-04-15 4:43:21,788000,2005-02-09 9:16:21,788000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.433,44061->44061
EF A5 92 05 08 00 12 E0,2016-04-15 4:47:08,521000,2005-02-09 9:20:08,521000,Maja_2005-02-09_09-01-32,44063,1,1,177,0,start 44063
EF A5 92 05 08 00 12 E0,2016-04-15 4:47:14,472000,2005-02-09 9:20:14,472000,Maja_2005-02-09_09-01-32,56960,2,1,177,5.951,44063->56960
6D B2 92 05 08 00 12 E0,2016-04-15 4:51:18,248000,2005-02-09 9:24:18,248000,Maja_2005-02-09_09-01-32,44061,8,1,177,476.46,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 4:51:18,679000,2005-02-09 9:24:18,679000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.431,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 4:51:19,567000,2005-02-09 9:24:19,567000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.888,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 4:51:19,998000,2005-02-09 9:24:19,998000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.431,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 4:51:23,544000,2005-02-09 9:24:23,544000,Maja_2005-02-09_09-01-32,44062,7,1,177,3.546,44061->44062
6D B2 92 05 08 00 12 E0,2016-04-15 5:09:09,614000,2005-02-09 9:42:09,614000,Maja_2005-02-09_09-01-32,44062,7,1,177,1066.07,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-15 5:09:10,63000,2005-02-09 9:42:10,63000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.449,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-15 5:09:12,786000,2005-02-09 9:42:12,786000,Maja_2005-02-09_09-01-32,44061,8,1,177,2.723,44062->44061
6D B2 92 05 08 00 12 E0,2016-04-15 5:09:13,217000,2005-02-09 9:42:13,217000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.431,44061->44061
EF A5 92 05 08 00 12 E0,2016-04-15 5:13:05,822000,2005-02-09 9:46:05,822000,Maja_2005-02-09_09-01-32,56960,2,1,177,1551.35,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:13:06,225000,2005-02-09 9:46:06,225000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.403,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:13:13,661000,2005-02-09 9:46:13,661000,Maja_2005-02-09_09-01-32,44063,1,1,177,7.436,56960->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:13:14,93000,2005-02-09 9:46:14,93000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.432,44063->44063
6D B2 92 05 08 00 12 E0,2016-04-15 5:16:53,437000,2005-02-09 9:49:53,437000,Maja_2005-02-09_09-01-32,44061,8,1,177,460.22,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 5:16:59,689000,2005-02-09 9:49:59,689000,Maja_2005-02-09_09-01-32,44062,7,1,177,6.252,44061->44062
EF A5 92 05 08 00 12 E0,2016-04-15 5:18:17,742000,2005-02-09 9:51:17,742000,Maja_2005-02-09_09-01-32,44063,1,1,177,303.649,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:18:18,168000,2005-02-09 9:51:18,168000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.426,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:18:21,365000,2005-02-09 9:51:21,365000,Maja_2005-02-09_09-01-32,56960,2,1,177,3.197,44063->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:18:21,814000,2005-02-09 9:51:21,814000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.449,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:15,703000,2005-02-09 10:23:15,703000,Maja_2005-02-09_09-01-32,56960,2,1,177,1913.89,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:16,129000,2005-02-09 10:23:16,129000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.426,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:16,554000,2005-02-09 10:23:16,554000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.425,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:17,5000,2005-02-09 10:23:17,5000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.451,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:17,430000,2005-02-09 10:23:17,430000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.425,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:17,855000,2005-02-09 10:23:17,855000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.425,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:18,312000,2005-02-09 10:23:18,312000,Maja_2005-02-09_09-01-32,56960,2,1,177,0.457,56960->56960
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:26,833000,2005-02-09 10:23:26,833000,Maja_2005-02-09_09-01-32,44063,1,1,177,8.521,56960->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:27,287000,2005-02-09 10:23:27,287000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.454,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:27,718000,2005-02-09 10:23:27,718000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.431,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:28,159000,2005-02-09 10:23:28,159000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.441,44063->44063
