"April 5, 2016",3:30 AM,62.1 F,48.4 F,61 %,South,3.1 mph,7.6 mph,30.23 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",3:36 AM,61.7 F,48.6 F,62 %,SE,2.2 mph,3.8 mph,30.23 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",3:42 AM,61.7 F,48.6 F,62 %,NE,3.8 mph,4.5 mph,30.23 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",3:48 AM,61.7 F,48.6 F,62 %,NE,3.8 mph,4.5 mph,30.24 in,0.00 in,0.00 in,2,1175 w/m\xc2\xb2 
"April 5, 2016",3:54 AM,61.5 F,48.4 F,62 %,SW,4.5 mph,4.5 mph,30.24 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",3:59 AM,61.3 F,48.6 F,63 %,SW,3.8 mph,6.9 mph,30.24 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:05 AM,61.2 F,48.4 F,63 %,NW,3.8 mph,5.4 mph,30.24 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:17 AM,60.6 F,48.7 F,65 %,SW,6.9 mph,6.9 mph,30.24 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:23 AM,59.9 F,48.0 F,65 %,South,3.8 mph,5.4 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:41 AM,59.4 F,48.0 F,66 %,South,2.2 mph,2.2 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:46 AM,59.2 F,47.8 F,66 %,NE,3.1 mph,6.9 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:52 AM,59.2 F,47.8 F,66 %,South,5.4 mph,5.4 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",4:58 AM,59.0 F,47.3 F,65 %,SE,3.1 mph,4.5 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:04 AM,58.8 F,47.8 F,67 %,SW,3.8 mph,3.8 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:10 AM,58.6 F,47.7 F,67 %,SSE,1.6 mph,3.1 mph,30.25 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:16 AM,58.3 F,47.3 F,67 %,SW,1.6 mph,2.2 mph,30.26 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:22 AM,58.3 F,47.3 F,67 %,South,0.7 mph,3.8 mph,30.26 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:28 AM,57.9 F,47.5 F,68 %,SW,3.1 mph,3.1 mph,30.27 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:33 AM,57.7 F,47.3 F,68 %,South,2.2 mph,2.2 mph,30.27 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:39 AM,57.4 F,47.3 F,69 %,East,0.7 mph,1.6 mph,30.27 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:45 AM,57.0 F,47.7 F,71 %,SE,2.2 mph,2.2 mph,30.27 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:51 AM,56.8 F,47.5 F,71 %,NE,2.2 mph,2.2 mph,30.27 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",5:57 AM,56.7 F,47.7 F,72 %,SW,3.8 mph,3.8 mph,30.28 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:03 AM,56.7 F,47.7 F,72 %,SW,3.1 mph,3.1 mph,30.28 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:15 AM,56.1 F,47.7 F,73 %,SW,2.2 mph,2.2 mph,30.28 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:20 AM,55.8 F,47.3 F,73 %,SW,1.6 mph,2.2 mph,30.28 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:26 AM,55.8 F,47.3 F,73 %,West,0.7 mph,1.6 mph,30.29 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:32 AM,55.6 F,47.1 F,73 %,SW,0.0 mph,0.7 mph,30.29 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 5, 2016",6:38 AM,55.2 F,47.1 F,74 %,NE,0.7 mph,0.7 mph,30.29 in,0.00 in,0.00 in,0,3 w/m\xc2\xb2 
"April 5, 2016",6:44 AM,55.2 F,47.5 F,75 %,SW,0.7 mph,0.7 mph,30.29 in,0.00 in,0.00 in,0,5 w/m\xc2\xb2 
"April 5, 2016",6:50 AM,55.2 F,47.5 F,75 %,SW,0.0 mph,0.7 mph,30.30 in,0.00 in,0.00 in,1,8 w/m\xc2\xb2 
"April 5, 2016",6:56 AM,55.2 F,47.8 F,76 %,NW,0.7 mph,2.2 mph,30.30 in,0.00 in,0.00 in,1,14 w/m\xc2\xb2 
"April 5, 2016",7:02 AM,55.6 F,47.8 F,75 %,SE,1.6 mph,3.8 mph,30.31 in,0.00 in,0.00 in,1,17 w/m\xc2\xb2 
"April 5, 2016",7:07 AM,55.8 F,48.0 F,75 %,SW,1.6 mph,3.1 mph,30.30 in,0.00 in,0.00 in,1,21 w/m\xc2\xb2 
"April 5, 2016",7:13 AM,56.3 F,48.2 F,74 %,South,1.6 mph,1.6 mph,30.31 in,0.00 in,0.00 in,1,23 w/m\xc2\xb2 
"April 5, 2016",7:19 AM,56.8 F,48.6 F,74 %,NW,2.2 mph,2.2 mph,30.31 in,0.00 in,0.00 in,1,26 w/m\xc2\xb2 
"April 5, 2016",7:25 AM,57.2 F,47.8 F,71 %,SE,2.2 mph,3.8 mph,30.31 in,0.00 in,0.00 in,1,26 w/m\xc2\xb2 
"April 5, 2016",7:31 AM,57.6 F,48.2 F,71 %,SE,3.1 mph,3.1 mph,30.32 in,0.00 in,0.00 in,1,23 w/m\xc2\xb2 
"April 5, 2016",7:37 AM,57.6 F,48.2 F,71 %,NE,3.8 mph,3.8 mph,30.32 in,0.00 in,0.00 in,1,31 w/m\xc2\xb2 
"April 5, 2016",7:43 AM,57.7 F,48.4 F,71 %,SW,3.1 mph,4.5 mph,30.33 in,0.00 in,0.00 in,1,56 w/m\xc2\xb2 
"April 5, 2016",7:49 AM,59.2 F,48.6 F,68 %,SW,1.6 mph,3.8 mph,30.32 in,0.00 in,0.00 in,2,96 w/m\xc2\xb2 
"April 5, 2016",7:54 AM,60.4 F,48.6 F,65 %,North,3.8 mph,4.5 mph,30.33 in,0.00 in,0.00 in,2,108 w/m\xc2\xb2 
